team,experience,salary,points3,points2,points1,points,off_rebounds,def_rebounds,assists,steals,blocks,turnovers,fouls,efficiency
ATL,3,2.281605,149,266,164,1143,35,189,182,55,15,106,103,12.227848101265822
MIL,1,0.051449,0,0,0,0,0,0,0,0,0,0,1,-0.5
MIL,0,0.035166,1,7,3,20,0,12,13,3,4,10,9,4.333333333333333
MIL,3,2.995421,49,607,471,1832,142,558,434,131,151,234,246,28.375
MIL,6,17.1,0,387,177,951,167,365,187,92,38,140,168,15.54320987654321
MIL,2,5.37432,65,334,162,1025,79,235,142,50,22,93,111,19.392156862745097
MIL,17,1.551659,73,32,24,307,15,91,98,46,20,36,95,5.378378378378378
MIL,4,12.517606,0,159,74,392,92,203,57,29,78,52,151,10.620689655172415
MIL,4,15.2,45,105,81,426,11,112,99,41,7,65,79,15.068965517241379
MIL,0,0.925,78,212,109,767,47,166,317,84,12,113,140,12.24
MIL,3,9.6075,79,129,82,577,24,123,357,53,0,133,153,8.697368421052632
MIL,8,1.403611,18,198,78,528,40,153,53,27,27,66,92,9.732142857142858
MIL,4,12.5,0,30,22,82,23,30,18,11,9,22,48,3.125
MIL,4,10.5,104,52,35,451,11,151,48,12,13,37,109,5.385714285714286
MIL,1,1.81104,26,31,2,142,4,45,23,19,10,14,32,3.097560975609756
MIL,9,6.348759,9,21,14,83,6,39,19,2,4,9,16,5.842105263157895
MIL,10,1.551659,1,1,0,5,0,3,0,0,0,0,1,0.375
MIL,4,0.236457,0,0,0,0,0,3,0,1,1,0,0,0.6666666666666666
MIL,0,2.5686,28,55,32,226,40,74,23,10,26,17,84,4.684210526315789
MIL,3,2.368327,144,102,47,683,22,226,96,55,14,55,125,9.1875
IND,8,2.7,48,73,32,322,18,51,125,25,9,66,93,4.569230769230769
IND,12,10.230179,0,235,65,535,75,203,57,19,16,33,125,9.333333333333334
IND,11,4.58345,169,112,84,815,30,199,48,46,25,40,151,9.842105263157896
IND,0,0.65,1,8,2,21,2,15,5,3,0,5,6,0.6086956521739131
IND,2,1.0505,49,109,54,419,57,189,47,41,20,37,63,7.739130434782608
IND,7,8.8,90,312,360,1254,33,297,639,100,32,216,165,19.23170731707317
IND,1,1.0523420000000001,5,21,11,68,1,16,15,4,0,5,5,1.4848484848484849
IND,6,1.8,0,109,14,232,41,101,23,7,20,29,66,6.081632653061225
IND,6,4,5,13,2,43,1,23,25,3,2,11,12,9.833333333333334
IND,5,4,0,77,23,177,105,114,57,18,24,29,78,5.983606557377049
IND,11,10.77,43,204,93,630,19,185,236,78,27,135,149,9.391891891891891
IND,1,2.46384,40,404,245,1173,139,450,106,74,172,105,262,18.839506172839506
IND,6,18.314532,195,427,336,1775,58,434,251,119,27,220,206,22.4
IND,1,1.0523420000000001,0,19,21,59,26,30,4,3,6,8,37,3.0344827586206895
IND,9,7,19,72,80,281,6,78,84,16,0,53,44,5.948717948717949
IND,9,14.153652,45,317,45,814,131,317,122,113,29,95,135,14.391891891891891
CHI,8,3.488,6,6,11,41,1,1,6,2,0,0,4,3.7777777777777777
CHI,1,1.45368,32,151,39,437,75,221,35,16,11,37,94,8.53125
CHI,1,2.11248,11,10,1,54,1,16,15,4,0,13,14,2.909090909090909
CHI,1,0.874636,0,128,60,316,124,187,40,25,17,33,110,8.333333333333334
CHI,0,2.0922,73,29,14,291,11,140,63,30,7,49,86,5.315789473684211
CHI,13,23.2,45,369,223,1096,63,207,228,86,41,138,112,16.4
CHI,3,1.015696,25,38,30,181,6,44,37,22,1,21,35,4.0256410256410255
CHI,1,1.64304,49,79,65,370,17,94,121,47,8,44,93,6.857142857142857
CHI,5,17.552209,91,479,585,1816,129,341,417,143,32,159,112,25.605263157894736
CHI,2,1.70972,6,31,9,89,21,47,19,7,0,16,12,5.3
CHI,3,3.183526,15,97,58,297,24,129,113,38,23,66,102,7.666666666666667
CHI,2,5.78245,129,129,99,744,61,323,75,53,55,80,128,11.928571428571429
CHI,0,0.75,33,55,31,240,15,110,36,15,16,40,78,5.681818181818182
CHI,1,0.425,0,0,0,0,0,1,0,0,0,0,0,0
CHI,10,14,50,179,30,538,73,282,461,99,11,169,144,13.666666666666666
CHI,8,13.21925,0,382,75,839,244,276,80,18,117,91,151,13.098765432098766
MIA,4,2.898,85,196,82,729,18,135,200,42,20,103,95,13.347826086956522
MIA,8,15.89,117,417,298,1483,62,217,423,89,13,212,199,19.26027397260274
MIA,4,22.11675,0,542,225,1309,293,795,57,57,161,154,226,25.376623376623378
MIA,7,4,87,281,152,975,66,310,276,76,86,171,197,15.18421052631579
